INPUT,English
MSG_CONFRMDELETE,You are about to delete the supplier 
LBL_REMOVE,Remove
MSG_TYPES_REQ,Type is required
LBL_EDIT,Edit
LBL_DELETE,Delete
MSG_CANTDELETE,Deletion Failed
MSG_AUTOCOMPLETE,Please enter 4 or more characters
MSG_CANNOTDELETE_SUP,"Mapped to either Audit, PO or Inspection Bookings"
LBL_REGIONAL_NAME,Regional Name
LBL_ADDNEW,Add
LBL_ADDPURCHASE,Add Purchase Order
LBL_ADDSUPPLIER,Add Vendor
LBL_ADD_MSG,To view vendor details search or add vendor
LBL_EDITSUPPLIER,Edit Supplier
LBL_IMPORT_CONTACT,Import Contact
LBL_IMPORT_VENDOR,Import Vendor
LBL_REJECT,Reject
LBL_APPROVED,Approved
MSG_REJECT,status is rejected
MSG_APPROVED,status is approved
TITLE,Vendor Details
LBL_MAIN,Main details
LBL_NAME,Name
PH_NAME,Enter Name
LBL_LOCALLANGUAGE,Regional Language Name
LBL_EMAIL,Email
LBL_PHONE,Phone No/Mobile No
MSG_PERIOD_FROM_REQ,Period from date is requiered
MSG_PERIOD_TO_REQ,Period to date is requiered
LBL_FAX,Fax
LBL_MOBILE,Mobile
MSG_PERIOD_FROMDATE_GREATER_REQ,From date should be greater than to date
LBL_WEBSITE,Website
LBL_TYPE,Type
LBL_LEVEL,Level
LBL_DAILYPRODUCTION,Daily production
LBL_OWNERSHIP,% Ownership
LBL_TOTALSTAFF,Total Staff
LBL_CONTACTPERSON,Contact Person
LBL_COMMENT,Comment
LBL_CODE,GL Code
LBL_LEGALNAME,Legal Name
LBL_CREDITTERM,Credit Term
LBL_STATUS,Status
LBL_VENDOR_CODE,Code
TAB_ADDRESS,Address
TAB_CUSTOMER,Organization
TAB_CONTACTS,Contacts
TAB_SUPPLIER,Supplier
ADD_FACTORY,Add Factory
ADD_SUPPLIER,Add Supplier
ADD_COMPANY,Add Inspection Company
LBL_EDIT_FACTORY,Factory Details
LBL_EDIT_SUPPLIER,Supplier Details
MSG_QC_REQ,QC company is required
